STT;Tên VB;Số hiệu;Status
93;Luật Người lao động Việt Nam đi làm việc ở nước ngoài theo hợp đồng;69/2020/QH14;Văn bản bị sửa đổi
94;Luật Thanh niên;57/2020/QH14;Văn bản bị sửa đổi
95;Luật sửa đổi, bổ sung một số điều của Luật Tổ chức Quốc hội;65/2020/QH14;Văn bản bị sửa đổi
96;Luật Xuất cảnh, nhập cảnh của công dân Việt Nam;49/2019/QH14;Văn bản bị sửa đổi
97;Luật sửa đổi, bổ sung một số điều của Luật Nhập cảnh, xuất cảnh, quá cảnh, cư trú của người nước ngoài tại Việt Nam;51/2019/QH14;Văn bản bị sửa đổi
98;Luật Phòng, chống tham nhũng;36/2018/QH14;Văn bản bị sửa đổi
99;Luật Đặc xá;30/2018/QH14;Văn bản bị sửa đổi
100;Luật Bảo vệ bí mật Nhà nước;29/2018/QH14;Văn bản bị sửa đổi
101;Luật Thủy sản;18/2017/QH14;Văn bản bị sửa đổi
102;Luật Lâm nghiệp;16/2017/QH14;Văn bản bị sửa đổi
103;Luật Cảnh vệ;13/2017/QH14;Văn bản bị sửa đổi
104;Luật Trách nhiệm bồi thường của Nhà nước;10/2017/QH14;Văn bản bị sửa đổi
105;Luật sửa đổi, bổ sung một số điều của Bộ luật Hình sự số 100/2015/QH13;12/2017/QH14;Văn bản bị sửa đổi
106;Luật Thống kê;89/2015/QH13;Văn bản bị sửa đổi
107;Luật Thi hành tạm giữ, tạm giam;94/2015/QH13;Văn bản bị sửa đổi
108;Luật Quân nhân chuyên nghiệp, công nhân và viên chức Quốc phòng;98/2015/QH13;Văn bản bị sửa đổi
109;Luật Thú y;79/2015/QH13;Văn bản bị sửa đổi
110;Luật Ngân sách Nhà nước;83/2015/QH13;Văn bản bị sửa đổi
111;Luật sửa đổi, bổ sung một số điều của Luật Sĩ quan Quân đội nhân dân Việt Nam;72/2014/QH13;Văn bản bị sửa đổi
112;Luật sửa đổi, bổ sung một số điều của Luật Thuế tiêu thụ đặc biệt;70/2014/QH13;Văn bản bị sửa đổi
113;Luật sửa đổi, bổ sung một số điều của Luật Quốc tịch Việt Nam;56/2014/QH13;Văn bản bị sửa đổi
114;Luật Hôn nhân và Gia đình;52/2014/QH13;Văn bản bị sửa đổi
115;Luật Phá sản của Quốc hội;51/2014/QH13;Văn bản bị sửa đổi
