No.,file_name,law_type,year,law_name,Số hiệu,lĩnh_vực,status,file_path,file_type,"SỬA ĐỔI, BỔ SUNG",_so_hieu_key,CHECK_META_IN_AUTH,CHECK_AUTH_IN_META,RECORD_TYPE,IN_AUTHORITATIVE
248,Luật-78-2015-QH13,LUẬT,2015,Luật Nghĩa Vụ Quân Sự,78/2015/QH13,non-economics,Văn bản hết hiệu lực một phần,D:\Github\KLTN\application\inputs\full_law\Luật-78-2015-QH13.docx,.docx,,78/2015/QH13,OK,,METADATA_ROW,True
249,Luật-78-2025-QH15,LUẬT,2025,"Luật SỬA ĐỔI, BỔ SUNG MỘT SỐ ĐIỀU CỦA LUẬT CHẤT LƯỢNG SẢN PHẨM, HÀNG HÓA",78/2025/QH15,non-economics,Văn bản chưa áp dụng,D:\Github\KLTN\application\inputs\full_law\Luật-78-2025-QH15.docx,.docx,"SỬA ĐỔI, BỔ SUNG",78/2025/QH15,OK,,METADATA_ROW,True
250,Luật-79-2006-QH11,LUẬT,2006,Luật Đê Điều,79/2006/QH11,non-economics,Văn bản hết hiệu lực một phần,D:\Github\KLTN\application\inputs\full_law\Luật-79-2006-QH11.docx,.docx,,79/2006/QH11,OK,,METADATA_ROW,True
251,Luật-79-2015-QH13,LUẬT,2015,Luật Thú Y,79/2015/QH13,non-economics,Văn bản bị sửa đổi,D:\Github\KLTN\application\inputs\full_law\Luật-79-2015-QH13.docx,.docx,,79/2015/QH13,OK,,METADATA_ROW,True
252,Luật-79-2025-QH15,LUẬT,2025,"Luật Sửa Đổi, Bổ Sung Một Số Điều Của Luật Quốc Tịch Việt Nam",79/2025/QH15,non-economics,Văn bản còn hiệu lực,D:\Github\KLTN\application\inputs\full_law\Luật-79-2025-QH15.docx,.docx,"SỬA ĐỔI, BỔ SUNG",79/2025/QH15,OK,,METADATA_ROW,True
253,Luật-80-2025-QH15,LUẬT,2025,"Luật Cán Bộ, Công Chức",80/2025/QH15,non-economics,Văn bản còn hiệu lực,D:\Github\KLTN\application\inputs\full_law\Luật-80-2025-QH15.docx,.docx,,80/2025/QH15,OK,,METADATA_ROW,True
254,Luật-81-2015-QH13,LUẬT,2015,Luật Kiểm Toán Nhà Nước,81/2015/QH13,non-economics,Văn bản hết hiệu lực một phần,D:\Github\KLTN\application\inputs\full_law\Luật-81-2015-QH13.docx,.docx,,81/2015/QH13,OK,,METADATA_ROW,True
255,Luật-81-2025-QH15,LUẬT,2025,"LUẬT SỬA ĐỔI, BỔ SUNG MỘT SỐ ĐIỀU CỦA LUẬT TỔ CHỨC TÒA ÁN NHÂN DÂN",81/2025/QH15,non-economics,Văn bản còn hiệu lực,D:\Github\KLTN\application\inputs\full_law\Luật-81-2025-QH15.docx,.docx,"SỬA ĐỔI, BỔ SUNG",81/2025/QH15,OK,,METADATA_ROW,True
256,Luật-82-2015-QH13,LUẬT,2015,"Luật Tài Nguyên, Môi Trường Biển Và Hải Đảo",82/2015/QH13,non-economics,Văn bản hết hiệu lực một phần,D:\Github\KLTN\application\inputs\full_law\Luật-82-2015-QH13.docx,.docx,,82/2015/QH13,OK,,METADATA_ROW,True
257,Luật-82-2025-QH15,LUẬT,2025,"Luật SỬA ĐỔI, BỔ SUNG MỘT SỐ ĐIỀU CỦA LUẬT TỔ CHỨC VIỆN KIỂM SÁT NHÂN DÂN",82/2025/QH15,non-economics,Văn bản còn hiệu lực,D:\Github\KLTN\application\inputs\full_law\Luật-82-2025-QH15.docx,.docx,"SỬA ĐỔI, BỔ SUNG",82/2025/QH15,OK,,METADATA_ROW,True
258,Luật-83-2015-QH13,LUẬT,2015,Luật Ngân Sách Nhà Nước,83/2015/QH13,non-economics,Văn bản bị sửa đổi,D:\Github\KLTN\application\inputs\full_law\Luật-83-2015-QH13.docx,.docx,,83/2015/QH13,OK,,METADATA_ROW,True
259,Luật-83-2025-QH15,LUẬT,2025,"Luật SỬA ĐỔI, BỔ SUNG MỘT SỐ ĐIỀU CỦA LUẬT BẦU CỬ ĐẠI BIỂU QUỐC HỘI VÀ ĐẠI BIỂU HỘI ĐỒNG NHÂN DÂN",83/2025/QH15,non-economics,Văn bản còn hiệu lực,D:\Github\KLTN\application\inputs\full_law\Luật-83-2025-QH15.docx,.docx,"SỬA ĐỔI, BỔ SUNG",83/2025/QH15,OK,,METADATA_ROW,True
260,Luật-84-2015-QH13,LUẬT,2015,"Luật An Toàn, Vệ Sinh Lao Động",84/2015/QH13,non-economics,Văn bản hết hiệu lực một phần,D:\Github\KLTN\application\inputs\full_law\Luật-84-2015-QH13.docx,.docx,,84/2015/QH13,OK,,METADATA_ROW,True
261,Luật-84-2025-QH15,LUẬT,2025,Luật Thanh Tra,84/2025/QH15,non-economics,Văn bản còn hiệu lực,D:\Github\KLTN\application\inputs\full_law\Luật-84-2025-QH15.docx,.docx,,84/2025/QH15,OK,,METADATA_ROW,True
262,Luật-85-2015-QH13,LUẬT,2015,Luật Bầu Cử Đại Biểu Quốc Hội VÀ ĐẠI BIỂU HỘI ĐỒNG NHÂN DÂN,85/2015/QH13,non-economics,Văn bản hết hiệu lực một phần,D:\Github\KLTN\application\inputs\full_law\Luật-85-2015-QH13.docx,.docx,,85/2015/QH13,OK,,METADATA_ROW,True
